"range","area","pt","yr","occ","elev","burn","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Riley","RI02.2","2006",1,2182,0,1,203,94,57,0.709124634129739
"Shoshone","Riley","RI03.1","2006",1,2259,0,1,221,94,57,0.709124634129739
"Shoshone","Riley","RI03.2","2015",0,2305,0,1,225,94,57,0.709124634129739
"Shoshone","Riley","RI04.1","2012",1,2368,0,1,208,125,73,0.721988165680473
"Shoshone","Riley","RI04.2","2012",1,2412,0,1,224,125,73,0.721988165680473
"Shoshone","Riley","RI05.1","2006",1,2483,0,1,210,198,100,0.733132379073139
"Shoshone","Riley","RI05.2","2014",1,2545,0,1,204,125,73,0.721988165680473
"Monitor","Ryegrass","RY01","2015",0,2144,0,1,214,99,47,0.729885057471264
"Monitor","Ryegrass","RY02","2015",0,2186,0,1,215,99,47,0.729885057471264
"Monitor","Ryegrass","RY03","2015",0,2235,0,1,214,135,61,0.730088495575221
"Monitor","Ryegrass","RY04","2015",0,2283,0,1,211,114,54,0.732673267326733
"Monitor","Ryegrass","RY05","2006",1,2337,0,1,197,135,61,0.730088495575221
"Monitor","Ryegrass","RY06","2015",0,2399,0,1,214,114,54,0.732673267326733
"Monitor","Ryegrass","RY07","2015",0,2412,0,1,221,115,55,0.730392156862745
"Toiyabe","San Juan","SJ01.1","2006",1,2104,0,1,176,64,47,0.686798590403904
"Toiyabe","San Juan","SJ01.2","2006",1,2117,0,1,152,89.5,57,0.707335014712064
